project_num,research_initiative,dbgap_accession,data_pi
1U01HL152410-01,RADx-rad,phs002522.v1.p1,"Huang, Jie"
1R01NR020105-01,RADx-rad,phs002523.v1.p1,"Snyder, Michael P"
1R01DE031114-01,RADx-rad,phs002524.v1.p1,"Jokerst, Jesse Vincent"
1U01DA053941-01,RADx-rad,phs002525.v1.p1,"Solo-Gabriele, Helena"
3U01LM013129-02S1,RADx-rad,phs002527.v1.p1,"Scotch, Matthew"
1U01DA053903-01,RADx-rad,phs002542.v1.p1,"Keck, James W"
1U01AA029324-01,RADx-rad,phs002543.v1.p1,"Potyrailo, Radislav A"
1U18TR003778-01,RADx-rad,phs002544.v1.p1,"Wong, David Tai Wai"
1U01AA029328-01,RADx-rad,phs002546.v1.p1,"Vanegas-Gamboa, Diana Carolina"
1R61HD105610-01,RADx-rad,phs002549.v1.p1,"Sethuraman, Usha"
1R44DE030841-01,RADx-rad,phs002550.v1.p1,"Young, Erik F"
1R01MD016526-01,RADx-rad,phs002551.v1.p1,"Dillard, Denise A"
1R61HD105590-01,RADx-rad,phs002553.v1.p1,"Burns, Jane C"
4U54HL119145-08,RADx-rad,phs002561.v1.p1,"Shafiee, Hadi"
1U18TR003787-01,RADx-rad,phs002563.v1.p1,"Fu, Xiao-An"
1U01AA029316-01,RADx-rad,phs002565.v1.p1,"Pun, Suzie H"
1R61HD105619-01,RADx-rad,phs002569.v1.p1,"Kleinman, Lawrence C"
1R42DE030829-01,RADx-rad,phs002570.v1.p1,"Khosravi-Far, Roya"
1R42DE030832-01,RADx-rad,phs002572.v1.p1,"Gordon, Timothy"
1U01AA029348-01,RADx-rad,phs002573.v1.p1,"Peng, Lu"
5U01HL150852-02,RADx-rad,phs002583.v1.p1,"DeMauro, Edward"
1R61HD105593-01,RADx-rad,phs002585.v1.p1,"Annapragada, Ananth V"
1U18TR003775-01,RADx-rad,phs002588.v1.p1,"Johnson, Alan T Charlie"
1U18TR003795-01,RADx-rad,phs002600.v1.p1,"Davis, Cristina Elizabeth"
4U54HL119145-08,RADx-rad,phs002602.v1.p1,"Ünlü, M Selim"
1R61HD105594-01,RADx-rad,phs002603.v1.p1,"Odom John, Audrey Ragan"
4R33HD105594-03,RADx-rad,phs002603.v1.p1,"Odom John, Audrey Ragan"
1U01DA053949-01,RADx-rad,phs002604.v1.p1,"Uhlemann, Anne-Catrin"
1R61HD105613-01,RADx-rad,phs002609.v1.p1,"Salazar, Juan C"
1U01DC019573-01,RADx-rad,phs002631.v1.p1,"Munger, Steven D"
3R01DC016112-04S1,RADx-rad,phs002642.v1.p1,"Travers, Susan P"
1R01DK130067-01,RADx-rad,phs002657.v1.p1,"Wang, Yuedong"
1U01DA053893-01,RADx-rad,phs002679.v1.p1,"Wenzel, Jeffrey"
1R44DE030852-01,RADx-rad,phs002685.v1.p1,"Yao, Xiaohu"
3U01HL146002-04S2,RADx-rad,phs002689.v1.p1,"Nasr, Mahmoud Lotfi"
1U01DC019578-01,RADx-rad,phs002699.v1.p1,"Dalton, Pamela Helen"
1U01AA029331-01,RADx-rad,phs002700.v1.p1,"Cirrito, John R"
1R44DE030842-01,RADx-rad,phs002702.v1.p1,"Ly, Jeffrey"
1U18TR003807-01,RADx-rad,phs002709.v1.p1,"Reátegui, Eduardo"
1U01DA053899-01,RADx-rad,phs002729.v1.p1,"Ramsey, John Michael"
1U01AA029345-01,RADx-rad,phs002744.v1.p1,"Salaita, Khalid S"
1U18TR003812-01,RADx-rad,phs002747.v1.p1,"Fan, Xudong"
1U18TR003793-01,RADx-rad,phs002778.v1.p1,"Stott, Shannon L"
1R61HD105618-01,RADx-rad,phs002781.v1.p1,"Chiu, Charles Yen"
1ZIAES103366-01,RADx-rad,phs002782.v1.p1,"Bell, Douglas"
3U01HL152401-02S1,RADx-rad,phs002924.v1.p1,"MacKenzie, John Devin"
1R61HD105591-01,RADx-rad,phs002945.v1.p1,"Manlhiot, Cedric"
4U01DC019579-03,RADx-rad,phs002964.v1.p1,"Albers, Mark W"
1U18TR003780-01,RADx-rad,phs003124.v1.p1,"Das, Samarjit"